PROSPECTID,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,PL_Flag,pct_PL_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,Credit_Score
6377,Married,12TH,31,F,8000,42,0.0,0,0.0,0,0,others,663
38744,Married,SSC,39,F,30000,251,0.0,0,0.0,0,0,ConsumerLoan,693
8651,Married,GRADUATE,37,M,35000,77,1.0,0,0.333,0,0,CC,645
36284,Married,PROFESSIONAL,31,M,28000,72,0.333,0,0.333,0,0,PL,685
50146,Married,UNDER GRADUATE,28,M,17500,64,0.167,0,0.0,1,0,others,690
48999,Single,12TH,27,M,22000,63,1.0,0,0.0,0,0,ConsumerLoan,671
3507,Married,12TH,53,M,40000,305,0.083,1,0.0,1,1,PL,750
12455,Single,UNDER GRADUATE,23,M,16700,369,0.0,0,0.0,1,0,others,665
15093,Married,SSC,33,M,14000,98,0.0,0,0.0,0,0,others,681
39788,Married,UNDER GRADUATE,44,M,32000,185,0.5,0,0.0,1,0,AL,696
45986,Married,SSC,32,M,35000,62,0.857,1,0.667,0,0,others,666
43596,Married,GRADUATE,48,M,35000,250,1.0,0,0.0,0,0,HL,672
16863,Single,12TH,22,M,16500,25,1.0,0,0.0,0,0,others,685
16919,Married,SSC,36,F,17000,131,0.0,0,0.0,0,0,ConsumerLoan,670
26426,Married,UNDER GRADUATE,39,F,30000,61,0.0,0,0.0,0,0,ConsumerLoan,665
23976,Married,12TH,46,F,23000,75,1.0,1,0.5,0,0,ConsumerLoan,661
25873,Married,SSC,48,F,20000,131,0.0,0,0.0,0,0,others,664
27818,Single,12TH,28,M,13000,78,0.667,0,0.0,0,0,others,690
36996,Married,GRADUATE,38,M,25000,126,0.0,0,0.0,0,0,ConsumerLoan,696
18097,Single,GRADUATE,25,M,15500,36,1.0,0,0.0,0,0,others,669
20088,Single,12TH,25,M,25000,185,1.0,0,0.0,0,0,others,667
33974,Single,OTHERS,30,M,20000,125,0.5,0,0.0,1,0,ConsumerLoan,690
25660,Single,GRADUATE,25,M,35000,102,1.0,1,0.0,0,0,others,693
10262,Married,GRADUATE,24,M,30000,54,1.0,0,0.6,0,0,ConsumerLoan,643
29440,Married,GRADUATE,33,F,13500,42,1.0,0,0.0,0,0,others,680
17690,Married,GRADUATE,39,M,45000,155,0.385,1,0.0,1,0,ConsumerLoan,694
2034,Married,12TH,30,M,10000,162,1.0,0,0.0,0,0,others,700
21422,Married,12TH,25,M,11000,44,1.0,0,0.0,0,0,others,684
41233,Married,SSC,34,M,51000,115,0.25,0,0.0,0,0,PL,679
8228,Single,SSC,23,F,13000,81,1.0,0,0.0,0,0,others,670
41170,Married,SSC,46,M,52000,369,1.0,0,0.0,0,0,AL,673
36795,Single,GRADUATE,25,M,12000,12,0.5,0,0.0,0,0,others,682
40119,Married,OTHERS,48,M,25000,245,0.0,0,0.0,0,0,others,706
51005,Married,GRADUATE,34,M,25000,274,0.8,1,0.0,0,0,ConsumerLoan,671
21098,Married,SSC,33,M,22000,76,0.0,0,0.0,0,0,others,695
30076,Married,POST-GRADUATE,29,M,19850,77,0.556,1,0.2,1,0,others,690
28624,Married,SSC,29,M,15000,131,1.0,0,0.0,0,0,others,683
27178,Married,SSC,49,M,30000,182,0.667,0,0.0,0,0,ConsumerLoan,692
